entry_time,entry_price,exit_time,exit_price,profit_pts,win,spikes_caught,pnl_usd,equity
1770060660,3049.382,1770064500,3058.655,-9.273,False,0,-3.0,7.0
1770064620,3059.042,1770068460,3044.813,14.229,True,4,10.0,17.0
1770069480,3050.777,1770073320,3049.396,1.381,True,3,10.0,27.0
1770074460,3051.59,1770078300,3058.675,-7.085,True,1,10.0,37.0
1770080100,3055.193,1770083940,3042.514,12.679,True,4,10.0,47.0
1770085080,3043.535,1770088920,3047.9,-4.365,True,2,10.0,57.0
1770089040,3048.221,1770092880,3056.081,-7.86,True,1,10.0,67.0
1770098400,3050.515,1770102240,3053.767,-3.252,True,2,10.0,77.0
1770105420,3046.203,1770109260,3052.217,-6.014,True,1,10.0,87.0
1770111000,3050.867,1770114840,3057.992,-7.125,True,2,10.0,97.0
1770118740,3052.602,1770122580,3048.719,3.883,True,4,10.0,107.0
1770123180,3052.011,1770127020,3060.792,-8.781,True,2,10.0,117.0
1770149340,3069.828,1770153180,3083.718,-13.89,True,1,10.0,127.0
1770177060,3096.332,1770180900,3109.008,-12.676,True,1,10.0,137.0
1770184800,3106.179,1770188640,3098.166,8.013,True,4,10.0,147.0
1770189000,3097.836,1770192840,3104.4,-6.564,True,1,10.0,157.0
1770195540,3103.42,1770199380,3079.303,24.117,True,5,10.0,167.0
1770203340,3070.756,1770207180,3084.963,-14.207,True,1,10.0,177.0
1770207300,3085.364,1770211140,3074.735,10.629,True,4,10.0,187.0
1770221220,3028.92,1770225060,3032.416,-3.496,True,2,10.0,197.0
1770225600,3033.523,1770229440,3040.993,-7.47,True,1,10.0,207.0
1770229560,3041.405,1770233400,3025.743,15.662,True,3,10.0,217.0
1770236940,3016.687,1770240780,3025.229,-8.542,True,2,10.0,227.0
1770240900,3025.64,1770244740,3014.021,11.619,True,2,10.0,237.0
1770245100,3015.821,1770248940,3019.97,-4.149,True,2,10.0,247.0
1770250020,3020.261,1770253860,3034.481,-14.22,True,2,10.0,257.0
1770275580,3048.205,1770279420,3054.297,-6.092,True,2,10.0,267.0
1770284340,3051.505,1770288180,3041.754,9.751,True,5,10.0,277.0
1770290220,3042.702,1770294060,3042.922,-0.22,True,3,10.0,287.0
1770294180,3043.327,1770298020,3048.058,-4.731,True,2,10.0,297.0
1770302040,3032.419,1770305880,3039.192,-6.773,True,2,10.0,307.0
1770312360,3044.452,1770316200,3043.794,0.658,True,3,10.0,317.0
1770326220,3043.687,1770330060,3037.299,6.388,True,3,10.0,327.0
1770330180,3037.697,1770334020,3050.008,-12.311,True,1,10.0,337.0
1770355080,3058.82,1770358920,3049.238,9.582,True,4,10.0,347.0
1770359880,3054.596,1770363720,3066.432,-11.836,False,0,-3.0,344.0
1770371100,3067.213,1770374940,3070.387,-3.174,True,2,10.0,354.0
1770377760,3057.654,1770381600,3047.999,9.655,True,2,10.0,364.0
1770382680,3046.523,1770386520,3055.416,-8.893,True,2,10.0,374.0
1770391560,3053.828,1770395400,3051.671,2.157,True,2,10.0,384.0
1770395580,3052.434,1770399420,3049.603,2.831,True,2,10.0,394.0
1770404580,3030.464,1770408420,3040.486,-10.022,False,0,-3.0,391.0
1770408540,3040.848,1770412380,3039.117,1.731,True,1,10.0,401.0
1770412500,3039.522,1770416340,3031.325,8.197,True,3,10.0,411.0
1770418620,3029.074,1770422460,3021.341,7.733,True,4,10.0,421.0
1770423120,3023.48,1770426960,3009.616,13.864,True,4,10.0,431.0
1770430080,3005.251,1770433920,3026.742,-21.491,False,0,-3.0,428.0
1770439320,3026.758,1770443160,3039.037,-12.279,True,1,10.0,438.0
1770481380,3086.076,1770485220,3085.672,0.404,True,2,10.0,448.0
1770485340,3086.05,1770489180,3089.164,-3.114,True,3,10.0,458.0
1770496020,3074.966,1770499860,3063.845,11.121,True,3,10.0,468.0
1770501000,3067.168,1770504840,3071.597,-4.429,True,3,10.0,478.0
1770504960,3071.954,1770508800,3075.247,-3.293,True,2,10.0,488.0
1770516360,3069.527,1770520200,3088.292,-18.765,False,0,-3.0,485.0
1770529620,3057.756,1770533460,3057.816,-0.06,True,2,10.0,495.0
1770534300,3059.463,1770538140,3071.95,-12.487,True,1,10.0,505.0
1770545220,3060.853,1770549060,3063.866,-3.013,True,3,10.0,515.0
1770549960,3068.629,1770553800,3076.057,-7.428,True,1,10.0,525.0
1770574920,3072.221,1770578760,3056.477,15.744,True,4,10.0,535.0
1770579840,3058.5,1770583680,3066.355,-7.855,True,2,10.0,545.0
1770583800,3066.679,1770587640,3056.807,9.872,True,3,10.0,555.0
1770589800,3058.323,1770593640,3074.48,-16.157,True,1,10.0,565.0
1770682440,3171.61,1770686280,3172.305,-0.695,True,2,10.0,575.0
1770686400,3172.724,1770690240,3170.178,2.546,True,2,10.0,585.0
