close,epoch,high,low,open
132.3676,1749576600,132.6494,132.2813,132.4977
132.1644,1749576900,132.3601,132.1195,132.3386
132.2691,1749577200,132.2957,132.073,132.1619
132.4922,1749577500,132.4922,132.1542,132.2647
132.3895,1749577800,132.5758,132.3739,132.4894
132.0294,1749578100,132.3887,131.9953,132.3755
132.1522,1749578400,132.1629,131.9666,132.0222
131.8436,1749578700,132.1542,131.796,132.1392
131.7576,1749579000,132.0348,131.6348,131.8545
131.7975,1749579300,131.8029,131.4985,131.7391
131.7746,1749579600,131.9981,131.6981,131.7952
131.6338,1749579900,131.8209,131.4886,131.7365
131.4606,1749580200,131.7152,131.384,131.6232
131.6507,1749580500,131.6507,131.3053,131.5047
131.9066,1749580800,132.0354,131.613,131.6745
131.8592,1749581100,132.1685,131.8156,131.9366
132.0206,1749581400,132.1191,131.7788,131.8521
131.9836,1749581700,132.038,131.8629,132.038
131.6611,1749582000,131.9837,131.6123,131.9837
131.7722,1749582300,131.8899,131.6522,131.6554
131.9447,1749582600,131.9715,131.6339,131.7777
131.8581,1749582900,132.017,131.8264,131.9321
131.279,1749583200,131.8846,131.279,131.8646
131.0777,1749583500,131.3647,131.0085,131.2686
131.3783,1749583800,131.4098,131.0668,131.0697
131.3666,1749584100,131.5515,131.3637,131.4085
130.9489,1749584400,131.3958,130.9351,131.347
130.964,1749584700,130.9966,130.7543,130.9304
130.7347,1749585000,130.9849,130.5501,130.9339
130.8452,1749585300,130.9464,130.6792,130.7459
130.7479,1749585600,130.9572,130.7391,130.8331
130.7651,1749585900,130.8791,130.7121,130.7461
130.806,1749586200,130.8713,130.682,130.7635
130.9003,1749586500,130.9465,130.7632,130.8027
130.9724,1749586800,131.0182,130.8278,130.9422
131.0286,1749587100,131.1199,130.9282,130.9784
130.9562,1749587400,131.1631,130.9026,131.0268
131.284,1749587700,131.3538,130.9318,130.9444
131.1134,1749588000,131.4466,131.064,131.2705
131.1685,1749588300,131.3795,131.0953,131.0953
131.3076,1749588600,131.367,131.0984,131.1292
131.3315,1749588900,131.4776,131.1723,131.3024
131.393,1749589200,131.5118,131.3148,131.3148
131.7473,1749589500,131.7473,131.3954,131.3954
131.7264,1749589800,131.7585,131.5085,131.7538
131.7997,1749590100,131.8753,131.6221,131.7418
131.5917,1749590400,131.8103,131.4953,131.8103
131.8557,1749590700,131.9517,131.5906,131.6099
132.0541,1749591000,132.0541,131.8366,131.8645
132.2702,1749591300,132.3236,132.0421,132.0421
132.2544,1749591600,132.4926,132.2496,132.2911
132.288,1749591900,132.3181,132.1511,132.2772
132.1574,1749592200,132.3225,131.9213,132.2695
132.3208,1749592500,132.4891,132.1752,132.1792
132.2787,1749592800,132.3113,132.0692,132.3113
132.5246,1749593100,132.5594,132.2801,132.2992
132.5213,1749593400,132.635,132.4507,132.5247
132.4664,1749593700,132.6451,132.3705,132.5106
132.5213,1749594000,132.5456,132.2389,132.4755
132.6849,1749594300,132.8297,132.4481,132.5363
132.8985,1749594600,132.9645,132.6431,132.6694
132.9198,1749594900,133.0259,132.822,132.9163
132.4494,1749595200,132.9203,132.4121,132.9052
132.5548,1749595500,132.6887,132.2884,132.4353
132.4816,1749595800,132.603,132.435,132.5901
132.6766,1749596100,132.6766,132.3894,132.4994
132.4331,1749596400,132.7471,132.4331,132.6526
132.309,1749596700,132.5067,132.0707,132.4246
