close,epoch,high,low,open
5359.307,1774689540,5359.406,5359.307,5359.406
5358.586,1774689600,5358.693,5358.586,5358.693
5357.931,1774689660,5358.047,5357.931,5358.047
5357.323,1774689720,5357.433,5357.323,5357.433
5356.642,1774689780,5356.764,5356.642,5356.764
5356.047,1774689840,5356.047,5356.047,5356.047
5355.32,1774689900,5355.321,5355.32,5355.321
5354.622,1774689960,5354.65,5354.622,5354.65
5353.982,1774690020,5354.02,5353.982,5354.02
5353.382,1774690080,5353.431,5353.382,5353.431
5352.662,1774690140,5352.715,5352.662,5352.715
5351.962,1774690200,5352.077,5351.962,5352.077
5351.264,1774690260,5351.362,5351.264,5351.362
5353.489,1774690560,5353.572,5353.489,5353.572
5352.753,1774690620,5352.85,5352.753,5352.85
5352.106,1774690680,5352.192,5352.106,5352.192
5351.624,1774690740,5351.626,5351.624,5351.626
5351.057,1774690800,5351.06,5351.057,5351.06
5350.413,1774690860,5350.435,5350.413,5350.435
5349.729,1774690920,5349.768,5349.729,5349.768
5348.404,1774691040,5348.472,5348.404,5348.472
5347.674,1774691100,5347.803,5347.674,5347.803
5347.115,1774691160,5347.115,5347.115,5347.115
5346.526,1774691220,5346.567,5346.526,5346.567
5345.848,1774691280,5345.901,5345.848,5345.901
5345.205,1774691340,5345.288,5345.205,5345.288
5344.603,1774691400,5344.681,5344.603,5344.681
5343.923,1774691460,5344.024,5343.923,5344.024
5343.422,1774691520,5343.432,5343.422,5343.432
5342.8,1774691580,5342.825,5342.8,5342.825
5342.164,1774691640,5342.207,5342.164,5342.207
5342.527,1774692000,5342.601,5342.527,5342.601
5341.862,1774692060,5341.943,5341.862,5341.943
5341.286,1774692120,5341.406,5341.286,5341.406
5340.738,1774692180,5340.738,5340.738,5340.738
5340.14,1774692240,5340.153,5340.14,5340.153
5339.574,1774692300,5339.583,5339.574,5339.583
5339.007,1774692360,5339.026,5339.007,5339.026
5338.416,1774692420,5338.451,5338.416,5338.451
1774692851,5349.208,5349.208,5349.059,5349.059
1774693114,5346.598,5346.598,5346.232,5346.232
1774693500,5342.746,5342.746,5342.746,5342.746
1774732764,5242.236,5242.236,5241.965,5241.965
1774732954,5242.857,5242.857,5242.463,5242.463
1774733783,5241.128,5241.128,5240.911,5240.911
